Date,Close
2023-05-12,308.9700012207031
2023-05-11,310.1099853515625
2023-05-10,312.30999755859375
2023-05-09,307.0
2023-05-08,308.6499938964844
2023-05-05,310.6499938964844
2023-05-04,305.4100036621094
2023-05-03,304.3999938964844
2023-05-02,305.4100036621094
2023-05-01,305.55999755859375
2023-04-28,307.260009765625
2023-04-27,304.8299865722656
2023-04-26,295.3699951171875
2023-04-25,275.4200134277344
2023-04-24,281.7699890136719
2023-04-21,285.760009765625
2023-04-20,286.1099853515625
2023-04-19,288.45001220703125
2023-04-18,288.3699951171875
2023-04-17,288.79998779296875
2023-04-14,286.1400146484375
2023-04-13,289.8399963378906
2023-04-12,283.489990234375
2023-04-11,282.8299865722656
2023-04-10,289.3900146484375
2023-04-06,291.6000061035156
2023-04-05,284.3399963378906
2023-04-04,287.17999267578125
2023-04-03,287.2300109863281
2023-03-31,288.29998779296875
2023-03-30,284.04998779296875
2023-03-29,280.510009765625
2023-03-28,275.2300109863281
2023-03-27,276.3800048828125
2023-03-24,280.57000732421875
2023-03-23,277.6600036621094
2023-03-22,272.2900085449219
2023-03-21,273.7799987792969
2023-03-20,272.2300109863281
2023-03-17,279.42999267578125
2023-03-16,276.20001220703125
2023-03-15,265.44000244140625
2023-03-14,260.7900085449219
2023-03-13,253.9199981689453
2023-03-10,248.58999633789062
2023-03-09,252.32000732421875
2023-03-08,253.6999969482422
2023-03-07,254.14999389648438
2023-03-06,256.8699951171875
2023-03-03,255.2899932861328
2023-03-02,251.11000061035156
2023-03-01,246.27000427246094
2023-02-28,249.4199981689453
2023-02-27,250.16000366210938
2023-02-24,249.22000122070312
2023-02-23,254.77000427246094
2023-02-22,251.50999450683594
2023-02-21,252.6699981689453
2023-02-17,258.05999755859375
2023-02-16,262.1499938964844
2023-02-15,269.32000732421875
2023-02-14,272.1700134277344
2023-02-13,271.32000732421875
2023-02-10,263.1000061035156
2023-02-09,263.6199951171875
2023-02-08,266.7300109863281
2023-02-07,267.55999755859375
2023-02-06,256.7699890136719
2023-02-03,258.3500061035156
2023-02-02,264.6000061035156
2023-02-01,252.75
2023-01-31,247.80999755859375
2023-01-30,242.7100067138672
2023-01-27,248.16000366210938
2023-01-26,248.0
2023-01-25,240.61000061035156
2023-01-24,242.0399932861328
2023-01-23,242.5800018310547
2023-01-20,240.22000122070312
2023-01-19,231.92999267578125
2023-01-18,235.80999755859375
2023-01-17,240.35000610351562
2023-01-13,239.22999572753906
2023-01-12,238.50999450683594
2023-01-11,235.77000427246094
2023-01-10,228.85000610351562
2023-01-09,227.1199951171875
2023-01-06,224.92999267578125
2023-01-05,222.30999755859375
2023-01-04,229.10000610351562
2023-01-03,239.5800018310547
2022-12-30,239.82000732421875
2022-12-29,241.00999450683594
2022-12-28,234.52999877929688
2022-12-27,236.9600067138672
2022-12-23,238.72999572753906
2022-12-22,238.19000244140625
2022-12-21,244.42999267578125
2022-12-20,241.8000030517578
2022-12-19,240.4499969482422
2022-12-16,244.69000244140625
2022-12-15,249.00999450683594
2022-12-14,257.2200012207031
2022-12-13,256.9200134277344
2022-12-12,252.50999450683594
2022-12-09,245.4199981689453
2022-12-08,247.39999389648438
2022-12-07,244.3699951171875
2022-12-06,245.1199951171875
2022-12-05,250.1999969482422
2022-12-02,255.02000427246094
2022-12-01,254.69000244140625
2022-11-30,255.13999938964844
